iter	RMSE
0	0.4089116789
1	0.4084118844
2	0.407854553
3	0.407298087
4	0.4068753711
5	0.4063454989
6	0.4058117661
7	0.4053183847
8	0.4047982455
9	0.4043592029
10	0.4038819212
11	0.4033529074
12	0.4028856844
13	0.4023836911
14	0.4018811645
15	0.4014224032
16	0.4009605215
17	0.4004803773
18	0.4000054268
19	0.3995694691
20	0.399160342
21	0.3986998327
22	0.398299686
23	0.3978884026
24	0.3974964033
25	0.397246453
26	0.3969601352
27	0.396607505
28	0.3962866356
29	0.395862394
30	0.3954654133
31	0.3950334085
32	0.3947493607
33	0.3943269229
34	0.3939032881
35	0.3935411729
36	0.3931475026
37	0.3927435251
38	0.3923938276
39	0.3920259384
40	0.3916853176
41	0.3912868182
42	0.3909439496
43	0.3906130675
44	0.3902417302
45	0.3898993295
46	0.3895249739
47	0.3891849188
48	0.3888660371
49	0.3885374473
50	0.3881588187
51	0.3878289877
52	0.3874731328
53	0.3871693137
54	0.3868975993
55	0.3866278054
56	0.3863326935
57	0.3860328854
58	0.3857186977
59	0.3854534588
60	0.3851480383
61	0.3848250019
62	0.3845961178
63	0.3843476893
64	0.3840475505
65	0.3838433888
66	0.3835904387
67	0.3833173995
68	0.3830091542
69	0.3827452058
70	0.3824634691
71	0.3821716303
72	0.3819525047
73	0.3816984002
74	0.3814531087
75	0.3811834328
76	0.3809566587
77	0.380716665
78	0.3804538597
79	0.3801693609
80	0.3799008663
81	0.3796254865
82	0.3794068423
83	0.3792195684
84	0.3790279299
85	0.3787597368
86	0.378509157
87	0.3782951195
88	0.3780298523
89	0.3777999883
90	0.3776080165
91	0.377354386
92	0.377121243
93	0.3768791387
94	0.3766620346
95	0.3764749821
96	0.3762594216
97	0.3760536829
98	0.3758316163
99	0.3756276218
100	0.3753814431
101	0.3751737991
102	0.3749416832
103	0.3747327783
104	0.3745371221
105	0.3743280256
106	0.3741235157
107	0.3739177787
108	0.3736667733
109	0.3734791533
110	0.3732513153
111	0.3730700967
112	0.3728929026
113	0.3727339058
114	0.3725794091
115	0.3723780023
116	0.3722156371
117	0.3720380168
118	0.3718697164
119	0.3716742162
120	0.3715452639
121	0.3713993379
122	0.3712480347
123	0.3711045882
124	0.3709265415
125	0.370691586
126	0.3705640099
127	0.3704053269
128	0.3702829553
129	0.370090456
130	0.3699640378
131	0.3697758601
132	0.3695856972
133	0.3694463118
134	0.3692551493
135	0.3690873977
136	0.3689645569
137	0.3688392576
138	0.3687016146
139	0.3685058735
140	0.3683412831
141	0.3681591363
142	0.3679914618
143	0.3678781552
144	0.367752508
145	0.3676179193
146	0.3675004514
147	0.3673535816
148	0.3672234235
149	0.3671074423
150	0.3669829504
151	0.3668626119
152	0.3667037696
153	0.366541184
154	0.3664055
155	0.3662346754
156	0.3661094491
157	0.3659443812
158	0.365773613
159	0.3656599029
160	0.3655026271
161	0.3653502959
162	0.3652412834
163	0.3651072197
164	0.3649296804
165	0.3647697989
166	0.3646541594
167	0.3645513715
168	0.364428968
169	0.3642771268
170	0.3641249878
171	0.3640143488
172	0.3638788806
173	0.3637157802
174	0.3635536447
175	0.3634038729
176	0.3633006563
177	0.3631526561
178	0.3630134767
179	0.3629147457
180	0.3628140115
181	0.3627121765
182	0.3626081378
183	0.3624805864
184	0.3623752286
185	0.3622653809
186	0.3621360651
187	0.3620066019
188	0.3618808276
189	0.361758148
190	0.361636531
191	0.361529457
192	0.3614372739
193	0.3613293826
194	0.3612408124
195	0.3611229171
196	0.3609796266
197	0.3608084752
198	0.3607052218
199	0.3605654377
200	0.3604281678
201	0.3603277768
202	0.3601935539
203	0.3600898008
204	0.3599670469
205	0.3598667923
206	0.3597737914
207	0.359675256
208	0.3595613723
209	0.3594792688
210	0.3593799609
211	0.3592871181
212	0.359196328
213	0.3590656018
214	0.3589367326
215	0.3588397216
216	0.3587120482
217	0.3586189854
218	0.3585154399
219	0.3584111441
220	0.3582952098
221	0.3581976256
222	0.3581164907
223	0.3579975956
224	0.3578737913
225	0.3577564232
226	0.3576377326
227	0.3575512289
228	0.3574417758
229	0.3573481513
230	0.3572558062
231	0.3571350646
232	0.3570306297
233	0.3569062274
234	0.356821533
235	0.3567030228
236	0.3565965811
237	0.3565075348
238	0.3563832202
239	0.3562822165
240	0.3561923887
241	0.356078637
242	0.3559754534
243	0.3558539052
244	0.3557645055
245	0.3556815241
246	0.3555825981
247	0.355454696
248	0.355329086
249	0.355203618
250	0.3551266998
251	0.3550245045
252	0.3549460308
253	0.3548819725
254	0.3547536586
255	0.3546379845
256	0.3545515548
257	0.3544547566
258	0.354390063
259	0.3542818333
260	0.3541863993
261	0.3541101588
262	0.3540284477
263	0.3539387074
264	0.3538579478
265	0.3537834935
266	0.3537128721
267	0.3536175201
268	0.3535355645
269	0.3534583617
270	0.3533958726
271	0.3533139549
272	0.3532386532
273	0.353181355
274	0.3531102077
275	0.3530347132
276	0.3529657814
277	0.3528806731
278	0.3528063225
279	0.3527127947
280	0.3526500088
281	0.3525559564
282	0.3524714925
283	0.3523714277
284	0.3522892777
285	0.3521932105
286	0.352130368
287	0.3520238475
288	0.3519050597
289	0.3518382439
290	0.3517403061
291	0.3516278099
292	0.3515591661
293	0.3514633651
294	0.3514169898
295	0.3513280784
296	0.3512549264
297	0.3511847595
298	0.3510747345
299	0.3510295825
300	0.3509490355
301	0.3508762651
302	0.3508198854
303	0.3507139172
304	0.350615372
305	0.3505379346
306	0.3504241407
307	0.3503503303
308	0.3502947855
309	0.3502143665
310	0.350132394
311	0.3500652254
312	0.3499865527
313	0.3499266735
314	0.3498694713
315	0.3498161223
316	0.3497148512
317	0.3496763661
318	0.3496018018
319	0.3495511209
320	0.3494651342
321	0.3493608068
322	0.3492921512
323	0.3492323572
324	0.349172032
325	0.3491201559
326	0.34900896
327	0.3489407222
328	0.3488687725
329	0.348826051
330	0.3487616506
331	0.3487105403
332	0.3486225733
333	0.3485278936
334	0.348475499
335	0.3484043495
336	0.3483407835
337	0.3482446026
338	0.3481551747
339	0.3480617705
340	0.3480191315
341	0.3479149615
342	0.3478301698
343	0.3477669091
344	0.3476865366
345	0.3476323477
346	0.3475860292
347	0.3475121692
