iter	Passed	Remaining
0	3	46041
1	5	42681
2	7	39561
3	9	37356
4	11	33859
5	12	32192
6	14	30789
7	15	29806
8	17	28796
9	18	27972
10	20	27284
11	21	26349
12	22	25506
13	23	24791
14	24	24368
15	25	23855
16	26	23500
17	27	23085
18	28	22503
19	29	22135
20	30	21739
21	31	21259
22	32	20911
23	33	20618
24	33	20297
25	34	19997
26	35	19777
27	36	19488
28	37	19205
29	37	18956
30	38	18671
31	39	18429
32	40	18199
33	40	17964
34	41	17747
35	42	17614
36	43	17444
37	43	17263
38	44	17094
39	45	16946
40	46	16830
41	46	16673
42	47	16545
43	48	16450
44	49	16320
45	49	16196
46	50	16065
47	51	15947
48	51	15833
49	52	15723
50	53	15619
51	54	15523
52	54	15421
53	55	15314
54	56	15231
55	56	15165
56	57	15077
57	58	14989
58	58	14930
59	59	14849
60	60	14789
61	61	14732
62	61	14656
63	62	14607
64	63	14628
65	64	14622
66	65	14554
67	66	14510
68	66	14460
69	67	14396
70	68	14340
71	68	14281
72	69	14255
73	70	14221
74	71	14185
75	71	14129
76	72	14073
77	73	14034
78	74	13996
79	74	13962
80	75	13926
81	76	13881
82	77	13850
83	77	13825
84	78	13801
85	79	13766
86	80	13731
87	80	13689
88	81	13652
89	82	13618
90	82	13580
91	83	13545
92	84	13518
93	85	13500
94	86	13501
95	86	13471
96	87	13439
97	88	13413
98	88	13380
99	89	13358
100	90	13323
101	90	13289
102	91	13263
103	92	13263
104	93	13266
105	94	13244
106	95	13227
107	95	13200
108	96	13180
109	97	13166
110	98	13153
111	98	13131
112	99	13115
113	100	13104
114	101	13085
115	101	13065
116	102	13049
117	103	13025
118	104	13013
119	104	12998
120	105	12973
121	106	12952
122	107	12944
123	107	12945
124	108	12939
125	109	12924
126	110	12908
127	110	12892
128	111	12882
129	112	12866
130	113	12853
131	113	12834
132	114	12815
133	115	12797
134	116	12787
135	116	12779
136	117	12758
137	118	12755
138	119	12744
139	119	12729
140	120	12712
141	121	12702
142	122	12695
143	123	12696
144	123	12696
145	124	12681
146	125	12673
147	126	12659
148	126	12650
149	127	12639
150	128	12632
151	129	12626
152	129	12611
153	130	12603
154	131	12598
155	132	12590
156	133	12583
157	133	12571
158	134	12556
159	135	12546
160	135	12533
161	136	12523
162	137	12524
163	138	12512
164	139	12521
165	139	12507
166	140	12497
167	141	12488
168	142	12471
169	142	12459
170	143	12455
171	144	12436
172	145	12427
173	145	12415
174	146	12405
175	147	12402
176	147	12394
177	148	12377
178	149	12367
179	150	12357
180	150	12347
181	151	12341
182	152	12347
183	153	12356
184	154	12345
185	154	12335
186	155	12325
187	156	12317
188	157	12312
189	157	12301
190	158	12298
191	159	12292
192	160	12283
193	160	12275
194	161	12266
195	162	12257
196	163	12248
197	163	12233
198	164	12224
199	165	12218
200	165	12209
201	166	12197
202	167	12195
203	168	12188
204	168	12177
205	169	12170
206	170	12162
207	170	12152
208	171	12147
209	172	12140
210	173	12135
211	173	12127
212	174	12119
213	175	12109
214	175	12099
215	176	12094
216	177	12084
217	178	12077
218	178	12069
219	179	12063
220	180	12058
221	181	12055
222	181	12048
223	182	12047
224	183	12039
225	184	12033
226	184	12030
227	185	12021
228	186	12013
229	187	12008
230	187	12011
231	188	12004
232	189	11995
233	190	11992
234	190	11985
235	191	11979
236	192	11978
237	192	11969
238	193	11966
239	194	11964
240	195	11957
241	195	11949
242	196	11947
243	197	11944
244	198	11943
245	199	11943
246	199	11938
247	200	11932
248	201	11926
249	202	11922
250	202	11915
251	203	11906
252	204	11900
253	204	11890
254	205	11883
255	206	11878
256	207	11875
257	207	11870
258	208	11868
259	209	11864
260	210	11865
261	210	11861
262	211	11861
263	212	11856
264	213	11850
265	213	11844
266	214	11837
267	215	11835
268	216	11835
269	216	11829
270	217	11829
271	218	11822
272	219	11816
273	219	11810
274	220	11804
275	221	11804
276	222	11801
277	222	11795
278	223	11791
279	224	11786
280	224	11779
281	225	11773
282	226	11769
283	227	11765
284	227	11767
285	228	11764
286	229	11760
287	230	11756
288	230	11752
289	231	11746
290	232	11741
291	233	11737
292	233	11733
293	234	11727
294	235	11723
295	235	11719
296	236	11722
297	237	11718
298	238	11720
299	239	11718
300	239	11715
301	240	11711
302	241	11719
303	242	11721
304	243	11720
305	244	11721
306	244	11715
307	245	11710
308	246	11706
309	247	11704
310	247	11698
311	248	11692
312	249	11685
313	249	11677
314	250	11674
315	251	11671
316	251	11667
317	252	11665
318	253	11662
319	254	11660
320	254	11656
321	255	11655
322	256	11657
323	257	11663
324	258	11662
325	259	11660
326	259	11657
327	260	11652
328	261	11648
329	261	11642
330	262	11639
331	263	11640
332	264	11637
333	264	11634
334	265	11629
335	266	11627
336	267	11621
337	267	11615
338	268	11611
339	269	11604
340	269	11600
