iter	Passed	Remaining
0	5	88372
1	10	82120
2	14	74314
3	18	70085
4	22	67478
5	27	68154
6	31	66667
7	34	65380
8	39	65162
9	43	65505
10	47	64949
11	51	64330
12	55	63847
13	60	64394
14	64	64228
15	68	63969
16	72	63568
17	76	63443
18	79	63058
19	83	62844
20	87	62611
21	91	62619
22	95	62412
23	99	62246
24	103	62092
25	107	62180
26	111	61984
27	115	61899
28	119	61760
29	124	61944
30	128	62036
31	132	61923
32	136	61738
33	140	61988
34	144	61942
35	148	61780
36	152	61677
37	157	62173
38	162	62150
39	165	62011
40	169	61939
41	175	62366
42	179	62530
43	184	62585
44	188	62732
45	194	63244
46	199	63312
47	203	63398
48	210	64078
49	213	63972
50	217	63872
51	221	63754
52	227	64149
53	231	64104
54	235	64019
55	241	64342
56	245	64414
57	249	64320
58	253	64152
59	258	64402
60	262	64278
61	266	64201
62	270	64048
63	275	64253
64	279	64189
65	283	64125
66	287	64052
67	292	64333
68	297	64344
69	301	64254
70	305	64276
71	310	64421
72	314	64324
73	318	64245
74	323	64455
75	328	64425
76	332	64386
77	336	64375
78	340	64384
79	344	64267
80	348	64210
81	353	64322
82	358	64419
83	362	64354
84	366	64282
85	370	64243
86	374	64248
87	378	64185
88	382	64116
89	386	64011
90	390	64038
91	394	63958
92	398	63871
93	402	63781
94	406	63793
95	410	63731
96	414	63669
97	418	63575
98	422	63607
99	426	63551
100	430	63533
101	434	63449
102	438	63476
103	442	63402
104	447	63431
105	451	63429
106	456	63540
107	460	63482
108	464	63427
109	468	63350
110	472	63381
111	476	63343
112	480	63280
113	484	63238
114	488	63220
115	492	63162
116	495	63089
117	499	63017
118	503	62967
119	508	63040
120	512	62983
121	515	62916
122	519	62880
123	524	62924
124	528	62892
125	532	62832
126	536	62795
127	541	62897
128	545	62905
129	550	62917
130	555	63031
131	559	63010
132	563	63005
133	567	62991
134	572	63001
135	576	62953
136	579	62909
137	583	62845
138	587	62855
139	592	62851
140	595	62794
141	599	62734
142	604	62759
143	608	62780
144	612	62739
145	616	62689
146	620	62680
147	624	62706
148	628	62647
149	632	62634
150	636	62629
151	641	62677
152	645	62632
153	649	62596
154	653	62570
155	658	62615
156	661	62581
157	665	62557
158	669	62526
159	674	62538
160	677	62485
161	683	62590
162	688	62711
163	693	62775
164	699	62854
165	704	62951
166	708	62918
167	712	62890
168	716	62857
169	721	62906
170	725	62941
171	730	62971
172	734	62963
173	739	63041
174	744	63084
175	749	63125
176	754	63175
177	758	63128
178	762	63139
179	767	63157
180	771	63191
181	775	63166
182	779	63138
183	783	63121
184	789	63203
185	793	63185
186	797	63179
187	801	63165
188	807	63254
189	811	63236
190	815	63197
191	819	63169
192	825	63299
193	829	63333
194	833	63317
195	840	63456
196	844	63469
197	848	63461
198	853	63483
199	858	63527
200	862	63514
201	866	63484
202	871	63539
203	875	63506
204	879	63469
205	883	63431
206	888	63478
207	892	63450
208	896	63413
209	899	63384
210	905	63468
211	909	63439
212	913	63409
213	917	63381
214	922	63453
215	926	63408
216	930	63367
217	934	63365
218	939	63437
219	943	63418
220	948	63430
221	954	63516
222	958	63515
223	962	63507
224	967	63505
225	971	63540
226	976	63529
227	980	63546
228	985	63543
229	989	63546
230	993	63516
231	997	63495
232	1001	63498
233	1006	63516
234	1010	63482
235	1014	63459
236	1019	63478
237	1023	63466
238	1027	63454
239	1031	63446
240	1036	63503
241	1041	63492
242	1045	63490
243	1049	63486
244	1054	63530
245	1058	63502
246	1062	63475
247	1066	63466
248	1072	63511
249	1076	63509
250	1080	63486
251	1084	63490
252	1089	63495
253	1093	63503
254	1098	63494
255	1102	63524
256	1107	63518
257	1111	63505
258	1115	63491
259	1120	63514
260	1124	63511
261	1128	63502
262	1133	63498
263	1138	63534
264	1142	63511
265	1146	63487
266	1150	63466
267	1155	63496
268	1159	63474
269	1162	63446
270	1166	63420
271	1171	63417
272	1175	63389
273	1178	63363
274	1182	63339
275	1187	63344
276	1191	63307
277	1195	63296
278	1199	63277
279	1203	63288
280	1207	63256
281	1211	63234
282	1215	63205
283	1220	63240
284	1224	63213
285	1228	63188
286	1232	63159
287	1237	63191
288	1241	63180
289	1245	63171
290	1249	63148
291	1254	63201
292	1259	63210
293	1263	63199
294	1267	63203
295	1272	63212
296	1276	63196
297	1280	63176
298	1284	63178
299	1289	63171
300	1293	63184
301	1298	63198
302	1303	63220
303	1307	63202
304	1311	63183
305	1315	63164
306	1320	63176
307	1323	63149
308	1327	63133
309	1332	63123
310	1336	63146
311	1340	63119
312	1344	63092
313	1348	63062
314	1352	63074
315	1356	63046
316	1360	63022
317	1364	62994
318	1368	62987
319	1372	62978
320	1379	63097
321	1386	63202
322	1394	63357
323	1399	63395
324	1404	63406
325	1408	63408
326	1413	63419
327	1418	63435
328	1422	63427
329	1426	63419
330	1430	63409
331	1435	63435
332	1439	63421
333	1444	63419
334	1448	63412
335	1453	63438
336	1457	63431
337	1462	63434
338	1467	63463
339	1471	63454
340	1475	63448
341	1480	63436
342	1485	63497
343	1489	63480
344	1493	63461
345	1497	63429
346	1503	63495
347	1507	63479
348	1511	63467
349	1516	63469
350	1521	63512
351	1525	63484
352	1529	63479
353	1535	63523
354	1539	63499
355	1543	63474
356	1546	63439
357	1552	63493
358	1556	63470
359	1560	63447
360	1564	63426
361	1569	63450
362	1573	63430
363	1576	63406
364	1580	63387
365	1585	63411
366	1589	63383
367	1593	63361
368	1597	63348
369	1602	63379
370	1606	63354
371	1610	63333
372	1614	63314
373	1619	63350
374	1623	63334
375	1627	63315
376	1631	63295
377	1636	63296
378	1640	63274
379	1644	63252
380	1648	63240
381	1652	63248
382	1656	63227
383	1660	63199
384	1664	63179
385	1668	63176
386	1672	63156
387	1676	63135
388	1680	63116
389	1684	63108
390	1688	63087
391	1692	63070
392	1696	63043
393	1701	63063
394	1705	63044
395	1710	63076
396	1716	63128
397	1721	63144
398	1725	63157
399	1730	63178
400	1737	63253
401	1742	63265
402	1746	63274
403	1751	63290
404	1755	63264
405	1759	63238
406	1763	63219
407	1767	63213
408	1771	63193
409	1775	63166
410	1779	63148
411	1783	63144
412	1786	63116
413	1790	63086
414	1794	63066
415	1799	63075
416	1802	63047
417	1806	63020
418	1810	62999
419	1815	63009
420	1819	62998
421	1823	62981
422	1827	62960
423	1831	62971
424	1836	62964
425	1839	62946
426	1843	62929
427	1848	62929
428	1852	62919
429	1856	62895
430	1860	62877
431	1864	62888
432	1868	62871
433	1872	62849
434	1876	62836
435	1881	62832
436	1885	62826
437	1889	62813
438	1893	62802
439	1898	62830
440	1902	62813
441	1906	62799
442	1910	62782
443	1915	62797
444	1919	62782
445	1923	62771
446	1927	62757
447	1932	62777
448	1937	62776
449	1941	62773
450	1945	62769
451	1951	62800
452	1955	62794
453	1959	62790
454	1964	62803
455	1969	62814
456	1973	62811
457	1978	62811
458	1983	62828
459	1987	62822
460	1991	62806
461	1995	62790
462	2000	62814
463	2004	62810
464	2009	62816
465	2015	62846
466	2019	62833
467	2023	62836
468	2027	62817
469	2033	62858
470	2038	62867
471	2042	62854
472	2047	62882
473	2052	62897
474	2057	62905
475	2061	62914
476	2067	62946
477	2072	62949
478	2076	62949
479	2081	62967
480	2085	62964
481	2090	62957
482	2094	62963
483	2100	62983
484	2104	62976
485	2108	62982
486	2114	63008
487	2118	62996
488	2122	62982
489	2126	62971
490	2131	62982
491	2135	62972
492	2139	62961
493	2143	62946
494	2148	62966
495	2152	62957
496	2157	62952
497	2161	62945
498	2166	62947
499	2170	62936
500	2174	62931
501	2178	62917
502	2182	62915
503	2186	62901
504	2191	62890
505	2195	62875
506	2200	62896
507	2204	62885
508	2208	62874
509	2213	62876
510	2217	62883
511	2222	62885
512	2226	62888
513	2231	62903
514	2236	62908
515	2240	62904
516	2245	62911
517	2250	62923
518	2255	62921
519	2259	62917
520	2264	62927
521	2268	62914
522	2272	62899
523	2276	62886
524	2280	62884
525	2285	62878
526	2289	62863
527	2292	62847
528	2297	62860
529	2303	62878
530	2307	62866
531	2311	62862
532	2316	62884
533	2321	62876
534	2325	62869
535	2330	62888
536	2336	62942
537	2341	62954
538	2347	62980
539	2351	62976
540	2355	62965
541	2360	62954
542	2365	62977
543	2369	62964
544	2373	62959
545	2377	62946
546	2382	62952
547	2386	62935
548	2390	62924
549	2394	62921
550	2399	62926
551	2403	62916
552	2407	62904
553	2412	62914
554	2417	62912
555	2421	62911
556	2426	62909
557	2431	62933
558	2435	62930
559	2440	62928
560	2446	62971
561	2451	62975
562	2455	62961
563	2459	62956
564	2466	63006
565	2470	62998
566	2475	63003
567	2481	63051
568	2486	63056
569	2490	63053
570	2496	63092
571	2500	63083
572	2505	63075
573	2509	63067
574	2515	63094
575	2519	63104
576	2524	63107
577	2530	63129
578	2534	63129
579	2539	63132
580	2543	63132
581	2549	63150
582	2553	63147
583	2558	63146
584	2562	63153
585	2567	63149
586	2571	63143
587	2576	63146
588	2581	63149
589	2585	63146
590	2589	63129
591	2593	63109
592	2598	63124
593	2602	63127
594	2607	63123
595	2612	63143
596	2616	63131
597	2621	63125
598	2625	63111
599	2629	63119
600	2634	63113
601	2638	63099
602	2642	63089
603	2647	63104
604	2651	63099
605	2656	63096
606	2662	63122
607	2666	63121
608	2671	63118
609	2675	63123
610	2681	63155
611	2686	63156
612	2691	63162
613	2697	63194
614	2701	63188
615	2705	63176
616	2709	63169
617	2716	63218
618	2720	63206
619	2724	63194
620	2730	63229
621	2734	63216
622	2738	63207
623	2743	63216
624	2749	63240
625	2754	63241
626	2758	63237
627	2764	63264
628	2768	63261
629	2773	63259
630	2779	63283
631	2783	63289
632	2788	63286
633	2794	63315
634	2798	63318
635	2803	63316
636	2808	63316
637	2814	63352
638	2818	63351
639	2823	63348
640	2828	63364
641	2832	63356
642	2837	63351
643	2841	63347
644	2846	63361
645	2851	63353
646	2855	63342
647	2860	63345
648	2864	63334
649	2868	63325
650	2872	63313
651	2877	63315
652	2881	63306
653	2885	63298
654	2889	63291
655	2894	63298
656	2898	63287
657	2902	63272
658	2907	63266
659	2912	63275
660	2916	63276
661	2921	63276
662	2926	63290
663	2931	63282
664	2935	63270
665	2939	63273
666	2945	63299
667	2950	63296
668	2954	63294
669	2959	63297
670	2964	63295
671	2968	63295
672	2973	63294
673	2978	63302
674	2982	63299
675	2987	63301
676	2992	63317
677	2997	63316
678	3001	63305
679	3005	63295
680	3010	63308
681	3014	63296
682	3018	63283
683	3023	63278
684	3028	63295
685	3033	63297
686	3038	63294
687	3044	63322
